video id, added date, description, title, user id
2644c36e-14bd-11e5-839e-8438355b7e3a,2011-10-05,"Apache Cassandra is a high performance, extremely scalable, fault tolerant (i.e. no single point of failure), distributed post-relational database solution.","DataStax Cassandra Tutorials - Apache Cassandra Overview",10d5c76c-8767-4db3-8050-e19e015b524c
2645e79c-14bd-11e5-a456-8438355b7e3a,2011-10-21,"DataStax is the developer of DataStax Enterprise, a distributed, scalable, and highly available database platform that delivers optimal performance either on ...","DataStax Cassandra Tutorials - Understanding partitioning and replication in Cassandra",10d5c76c-8767-4db3-8050-e19e015b524c
2645e8d1-14bd-11e5-958e-8438355b7e3a,2011-10-21,"DataStax is the developer of DataStax Enterprise, a distributed, scalable, and highly available database platform that delivers optimal performance either on ...","DataStax Cassandra Tutorials - Understanding data consistency in Cassandra",10d5c76c-8767-4db3-8050-e19e015b524c
2645e9a3-14bd-11e5-9bc5-8438355b7e3a,2011-11-01,"DataStax is the developer of DataStax Enterprise, a distributed, scalable, and highly available database platform that delivers optimal performance either on ...","DataStax Cassandra Tutorials - Installing Cassandra and OpsCenter",10d5c76c-8767-4db3-8050-e19e015b524c
2645ea59-14bd-11e5-a993-8438355b7e3a,2014-01-29,"DataStax is hiring, Join us! Ready to join a fast paced start-up headquartered in the heart of Silicon Valley? At DataStax we are on the forefront of an incredible ...","Datastax - Who We Are",10d5c76c-8767-4db3-8050-e19e015b524c
2645eb02-14bd-11e5-b5d0-8438355b7e3a,2012-08-20,"Session: Titan: Big Graph Data with Cassandra Speaker: Matthias Broecheler, Aurelius.","C* 2012: Titan - Big Graph Data With Cassandra (Matthias Broecheler, Aurelius)",10d5c76c-8767-4db3-8050-e19e015b524c
2645ebb8-14bd-11e5-a919-8438355b7e3a,2014-08-18,"Today's radically connected world needs a revolutionary new technology. DataStax can help you infuse the same data-driven DNA as Google and Amazon into ...","Become An Internet Enterprise",10d5c76c-8767-4db3-8050-e19e015b524c
2645ec59-14bd-11e5-96ea-8438355b7e3a,2012-08-20,"Session: Building a Cassandra Based Application from Scratch Speaker: Patrick McFadin Description: The goal of this talk is to take people unfamiliar with ...","C* 2012: Building a Cassandra Based Application from Scratch (Patrick McFadin, Hobsons)",10d5c76c-8767-4db3-8050-e19e015b524c
2645ed02-14bd-11e5-9743-8438355b7e3a,2012-04-03,"Rick Branson, Solutions Architect, of DataStax speaking about Cassandra & SSDs at a Meetup hosted by the Silicon Valley Cassandra User Group at Walmart ...","Cassandra & SSDs",10d5c76c-8767-4db3-8050-e19e015b524c
2645ed97-14bd-11e5-8a40-8438355b7e3a,2013-10-16,"DataStax DevCenter is a free visual query tool for developers and administrators for creating and running Cassandra Query Language (CQL) queries and ...","DataStax DevCenter",10d5c76c-8767-4db3-8050-e19e015b524c
2645ee40-14bd-11e5-8725-8438355b7e3a,2014-09-17,"","Cassandra Summit 2014 - Wrap Up!",10d5c76c-8767-4db3-8050-e19e015b524c
2645eed7-14bd-11e5-8e7d-8438355b7e3a,2012-04-27,"DataStax OpsCenter is a visual management and monitoring solution for big data platforms that is offered in two editions: OpsCenter Community Edition ...","Cassandra Essentials Tutorials - DataStax OpsCenter Overview",10d5c76c-8767-4db3-8050-e19e015b524c
2645ef78-14bd-11e5-b68b-8438355b7e3a,2012-08-20,"Session: Lightning Talk #3 - How to Scale MongoDB Speakers: Ed Anuff and Nate McCall (Apigee)","C* 2012: Lightning Talk #3 - How to Scale MongoDB (Ed Anuff and Nate McCall, Apigee)",10d5c76c-8767-4db3-8050-e19e015b524c
2645f107-14bd-11e5-9321-8438355b7e3a,2013-02-24,"","Big Data Challenges",10d5c76c-8767-4db3-8050-e19e015b524c
2645f1bd-14bd-11e5-af1a-8438355b7e3a,2012-04-16,"DataStax offers products and services based on the popular open-source database, Apache Cassandra that solve today's most challenging big data problems ...","What is DataStax Enterprise?",10d5c76c-8767-4db3-8050-e19e015b524c
2645f25c-14bd-11e5-815d-8438355b7e3a,2011-12-30,"Nathan Marz - The Storm and Cassandra Realtime Computation Stack Nathan Marz (@nathanmarz) is currently employed at Twitter as the lead engineer for the ...","Cassandra NYC 2011: Nathan Marz - The Storm and Cassandra Realtime Computation Stack",10d5c76c-8767-4db3-8050-e19e015b524c
